key,key_as_string,doc_count,jumlah_meninggal,jumlah_sembuh,jumlah_positif,jumlah_dirawat,jumlah_positif_kum,jumlah_sembuh_kum,jumlah_meninggal_kum,jumlah_dirawat_kum
1583107200000,2020-03-02,1,0,0,2,2,2,0,0,2
1583193600000,2020-03-03,1,0,0,0,0,2,0,0,2
1583280000000,2020-03-04,1,0,0,0,0,2,0,0,2
1583366400000,2020-03-05,1,0,0,0,0,2,0,0,2
1583452800000,2020-03-06,1,0,0,2,2,4,0,0,4
1583539200000,2020-03-07,1,0,0,0,0,4,0,0,4
1583625600000,2020-03-08,1,0,0,2,2,6,0,0,6
1583712000000,2020-03-09,1,0,0,13,13,19,0,0,19
1583798400000,2020-03-10,1,0,2,8,6,27,2,0,25
1583884800000,2020-03-11,1,1,0,7,6,34,2,1,31
1583971200000,2020-03-12,1,0,0,0,0,34,2,1,31
1584057600000,2020-03-13,1,3,0,35,32,69,2,4,63
1584144000000,2020-03-14,1,1,6,27,20,96,8,5,83
1584230400000,2020-03-15,1,0,0,21,21,117,8,5,104
1584316800000,2020-03-16,1,0,0,17,17,134,8,5,121
1584403200000,2020-03-17,1,0,1,38,37,172,9,5,158
1584489600000,2020-03-18,1,14,2,55,39,227,11,19,197
1584576000000,2020-03-19,1,6,4,82,72,309,15,25,269
1584662400000,2020-03-20,1,7,2,60,51,369,17,32,320
1584748800000,2020-03-21,1,6,3,81,72,450,20,38,392
1584835200000,2020-03-22,1,10,9,64,45,514,29,48,437
1584921600000,2020-03-23,1,1,1,65,63,579,30,49,500
1585008000000,2020-03-24,1,6,0,106,100,685,30,55,600
1585094400000,2020-03-25,1,3,1,105,101,790,31,58,701
1585180800000,2020-03-26,1,20,4,103,79,893,35,78,780
1585267200000,2020-03-27,1,9,11,153,133,1046,46,87,913
1585353600000,2020-03-28,1,15,13,109,81,1155,59,102,994
1585440000000,2020-03-29,1,12,5,130,113,1285,64,114,1107
1585526400000,2020-03-30,1,8,11,129,110,1414,75,122,1217
1585612800000,2020-03-31,1,14,6,114,94,1528,81,136,1311
1585699200000,2020-04-01,1,21,22,149,106,1677,103,157,1417
1585785600000,2020-04-02,1,13,9,113,91,1790,112,170,1508
1585872000000,2020-04-03,1,11,22,196,163,1986,134,181,1671
1585958400000,2020-04-04,1,10,16,106,80,2092,150,191,1751
1586044800000,2020-04-05,1,7,14,181,160,2273,164,198,1911
1586131200000,2020-04-06,1,11,28,218,179,2491,192,209,2090
1586217600000,2020-04-07,1,12,12,247,223,2738,204,221,2313
1586304000000,2020-04-08,1,19,18,218,181,2956,222,240,2494
1586390400000,2020-04-09,1,40,30,337,267,3293,252,280,2761
1586476800000,2020-04-10,1,26,30,219,163,3512,282,306,2924
1586563200000,2020-04-11,1,21,4,330,305,3842,286,327,3229
1586649600000,2020-04-12,1,46,73,399,280,4241,359,373,3509
1586736000000,2020-04-13,1,26,21,316,269,4557,380,399,3778
1586822400000,2020-04-14,1,60,46,282,176,4839,426,459,3954
1586908800000,2020-04-15,1,10,20,297,267,5136,446,469,4221
1586995200000,2020-04-16,1,27,102,380,251,5516,548,496,4472
1587081600000,2020-04-17,1,24,59,407,324,5923,607,520,4796
1587168000000,2020-04-18,1,15,24,325,286,6248,631,535,5082
1587254400000,2020-04-19,1,47,55,327,225,6575,686,582,5307
1587340800000,2020-04-20,1,8,61,185,116,6760,747,590,5423
1587427200000,2020-04-21,1,26,95,375,254,7135,842,616,5677
1587513600000,2020-04-22,1,19,71,283,193,7418,913,635,5870
1587600000000,2020-04-23,1,12,47,357,298,7775,960,647,6168
1587686400000,2020-04-24,1,42,42,436,352,8211,1002,689,6520
1587772800000,2020-04-25,1,31,40,396,325,8607,1042,720,6845
1587859200000,2020-04-26,1,23,65,275,187,8882,1107,743,7032
1587945600000,2020-04-27,1,22,44,214,148,9096,1151,765,7180
1588032000000,2020-04-28,1,8,103,415,304,9511,1254,773,7484
1588118400000,2020-04-29,1,11,137,260,112,9771,1391,784,7596
1588204800000,2020-04-30,1,8,131,347,208,10118,1522,792,7804
1588291200000,2020-05-01,1,8,69,433,356,10551,1591,800,8160
1588377600000,2020-05-02,1,31,74,292,187,10843,1665,831,8347
1588464000000,2020-05-03,1,14,211,349,124,11192,1876,845,8471
1588550400000,2020-05-04,1,19,78,395,298,11587,1954,864,8769
1588636800000,2020-05-05,1,8,243,484,233,12071,2197,872,9002
1588723200000,2020-05-06,1,23,120,367,224,12438,2317,895,9226
1588809600000,2020-05-07,1,35,64,338,239,12776,2381,930,9465
1588896000000,2020-05-08,1,13,113,336,210,13112,2494,943,9675
1588982400000,2020-05-09,1,16,113,533,404,13645,2607,959,10079
1589068800000,2020-05-10,1,14,91,387,282,14032,2698,973,10361
1589155200000,2020-05-11,1,18,183,233,32,14265,2881,991,10393
1589241600000,2020-05-12,1,16,182,484,286,14749,3063,1007,10679
1589328000000,2020-05-13,1,21,224,689,444,15438,3287,1028,11123
1589414400000,2020-05-14,1,15,231,568,322,16006,3518,1043,11445
1589500800000,2020-05-15,1,33,285,490,172,16496,3803,1076,11617
1589587200000,2020-05-16,1,13,108,529,408,17025,3911,1089,12025
1589673600000,2020-05-17,1,59,218,489,212,17514,4129,1148,12237
1589760000000,2020-05-18,1,43,195,496,258,18010,4324,1191,12495
1589846400000,2020-05-19,1,30,143,486,313,18496,4467,1221,12808
1589932800000,2020-05-20,1,21,108,693,564,19189,4575,1242,13372
1590019200000,2020-05-21,1,36,263,973,674,20162,4838,1278,14046
1590105600000,2020-05-22,1,48,219,634,367,20796,5057,1326,14413
1590192000000,2020-05-23,1,25,192,949,732,21745,5249,1351,15145
1590278400000,2020-05-24,1,21,153,526,352,22271,5402,1372,15497
1590364800000,2020-05-25,1,19,240,479,220,22750,5642,1391,15717
1590451200000,2020-05-26,1,27,235,415,153,23165,5877,1418,15870
1590537600000,2020-05-27,1,55,180,686,451,23851,6057,1473,16321
1590624000000,2020-05-28,1,23,183,687,481,24538,6240,1496,16802
1590710400000,2020-05-29,1,24,252,678,402,25216,6492,1520,17204
1590796800000,2020-05-30,1,53,523,557,19,25773,7015,1573,17185
1590883200000,2020-05-31,1,40,293,700,367,26473,7308,1613,17552
1590969600000,2020-06-01,1,28,329,467,110,26940,7637,1641,17662
1591056000000,2020-06-02,1,22,298,609,289,27549,7935,1663,17951
1591142400000,2020-06-03,1,35,471,684,178,28233,8406,1698,18129
1591228800000,2020-06-04,1,23,486,585,76,28818,8892,1721,18205
1591315200000,2020-06-05,1,49,551,703,103,29521,9443,1770,18308
1591401600000,2020-06-06,1,31,464,993,498,30514,9907,1801,18806
1591488000000,2020-06-07,1,50,591,672,31,31186,10498,1851,18837
1591574400000,2020-06-08,1,32,406,847,409,32033,10904,1883,19246
1591660800000,2020-06-09,1,40,510,1042,492,33075,11414,1923,19738
1591747200000,2020-06-10,1,36,715,1241,490,34316,12129,1959,20228
1591833600000,2020-06-11,1,41,507,979,431,35295,12636,2000,20659
1591920000000,2020-06-12,1,48,577,1111,486,36406,13213,2048,21145
1592006400000,2020-06-13,1,43,563,1014,408,37420,13776,2091,21553
1592092800000,2020-06-14,1,43,755,857,59,38277,14531,2134,21612
