"school_year","vendor_name","type_of_service","active_employees","job_type"
"2018-2019","LOGAN BUS COMPANY INC.","School Age","1","Driver&Attendant"
"2018-2019","E-Z BUS LLC (B2321)","School Age","5","Attendant"
"2018-2019","E-Z BUS LLC (B2321)","School Age","3","Driver"
"2018-2019","E-Z BUS LLC (B2321)","School Age","2","Driver&Attendant"
"2018-2019","LOGAN TRANSPORTATION SYSTEMS","School Age","32","Driver"
"2018-2019","RELIANT TRANS, INC.","School Age","3","Attendant"
"2018-2019","RELIANT TRANS, INC.","School Age","6","Driver"
"2018-2019","LORINDA ENTERPRISES, LTD.","School Age","262","Attendant"
"2018-2019","LORINDA ENTERPRISES, LTD.","School Age","255","Driver"
"2018-2019","LORINDA ENTERPRISES, LTD.","School Age","2","Driver&Attendant"
"2018-2019","LORISSA BUS SERVICE INC.","School Age","115","Driver"
"2018-2019","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","266","Attendant"
"2015-2016","ACADEMY EXPRESS LLC","Coach","20","Driver"
"2015-2016","ACADEMY EXPRESS LLC","School Age","20","Driver"
"2015-2016","ACME BUS CORP. (B2321)","School Age","55","Attendant"
"2018-2019","MUTUAL BUS CORP. (B2192)","School Age","8","Attendant"
"2018-2019","MUTUAL BUS CORP. (B2192)","School Age","9","Driver"
"2018-2019","QUALITY TRANSPORTATION CORP.","School Age","1","Driver&Attendant"
"2018-2019","SNT BUS INC","School Age","1","Driver&Attendant"
"2015-2016","ACME BUS CORP. (B2321)","School Age","53","Driver"
"2015-2016","ACME BUS CORP. (B2321)","School Age","4","Driver&Attendant"
"2015-2016","ALINA SERVICES CORP.","Pre-K","74","Attendant"
"2015-2016","ALINA SERVICES CORP.","Pre-K","60","Driver"
"2015-2016","ALINA SERVICES CORP.","Pre-K","4","Driver&Attendant"
"2015-2016","ALL AMERICAN SCHOOL BUS CORP.","School Age","55","Attendant"
"2015-2016","ALL AMERICAN SCHOOL BUS CORP.","School Age","152","Driver"
"2018-2019","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","241","Driver"
"2015-2016","SMART PICK","Pre-K","41","Attendant"
"2015-2016","ALL COUNTY BUS LLC (B2321)","School Age","55","Attendant"
"2015-2016","ALL COUNTY BUS LLC (B2321)","School Age","53","Driver"
"2015-2016","ALLIED TRANSIT CORP.","School Age","33","Attendant"
"2015-2016","ALLIED TRANSIT CORP.","School Age","77","Driver"
"2015-2016","ALLIED TRANSIT CORP.","School Age","2","Driver&Attendant"
"2015-2016","ANOTHER RIDE INC.","Pre-K","8","Attendant"
"2015-2016","ANOTHER RIDE INC.","Pre-K","7","Driver"
"2015-2016","B & F SKILLED INC.(B2192)","School Age","45","Attendant"
"2018-2019","MAR-CAN TRANSPORT CO. INC (B2192)","School Age","4","Driver&Attendant"
