key,key_as_string,doc_count,jumlah_vaksinasi_2,jumlah_vaksinasi_1,jumlah_jumlah_vaksinasi_1_kum,jumlah_jumlah_vaksinasi_2_kum
1612137600000,2021-02-01,1,0,0,0,0
1612224000000,2021-02-02,0,0,0,0,0
1612310400000,2021-02-03,0,0,0,0,0
1612396800000,2021-02-04,0,0,0,0,0
1612483200000,2021-02-05,0,0,0,0,0
1612569600000,2021-02-06,0,0,0,0,0
1612656000000,2021-02-07,0,0,0,0,0
1612742400000,2021-02-08,0,0,0,0,0
1612828800000,2021-02-09,0,0,0,0,0
1612915200000,2021-02-10,0,0,0,0,0
1613001600000,2021-02-11,0,0,0,0,0
1613088000000,2021-02-12,0,0,0,0,0
1613174400000,2021-02-13,0,0,0,0,0
1613260800000,2021-02-14,0,0,0,0,0
1613347200000,2021-02-15,0,0,0,0,0
1613433600000,2021-02-16,0,0,0,0,0
1613520000000,2021-02-17,0,0,0,0,0
1613606400000,2021-02-18,0,0,0,0,0
1613692800000,2021-02-19,0,0,0,0,0
1613779200000,2021-02-20,0,0,0,0,0
1613865600000,2021-02-21,0,0,0,0,0
1613952000000,2021-02-22,0,0,0,0,0
1614038400000,2021-02-23,0,0,0,0,0
1614124800000,2021-02-24,0,0,0,0,0
1614211200000,2021-02-25,0,0,0,0,0
1614297600000,2021-02-26,0,0,0,0,0
1614384000000,2021-02-27,0,0,0,0,0
1614470400000,2021-02-28,0,0,0,0,0
1614556800000,2021-03-01,0,0,0,0,0
1614643200000,2021-03-02,0,0,0,0,0
1614729600000,2021-03-03,0,0,0,0,0
1614816000000,2021-03-04,0,0,0,0,0
1614902400000,2021-03-05,0,0,0,0,0
1614988800000,2021-03-06,0,0,0,0,0
1615075200000,2021-03-07,0,0,0,0,0
1615161600000,2021-03-08,0,0,0,0,0
1615248000000,2021-03-09,0,0,0,0,0
1615334400000,2021-03-10,0,0,0,0,0
1615420800000,2021-03-11,0,0,0,0,0
1615507200000,2021-03-12,0,0,0,0,0
1615593600000,2021-03-13,0,0,0,0,0
1615680000000,2021-03-14,0,0,0,0,0
1615766400000,2021-03-15,1,1572786,4166862,4166862,1572786
1615852800000,2021-03-16,1,143963,302089,4468951,1716749
